NAME YEAR DOY YYYY-MM-DD TYPE
FAA1 2008 051 2008-02-20 SF
FAA1 2012 339 2012-12-04 RSFYAs
FAA1 2013 280 2013-10-07 S
FAA1 2018 190 2018-07-09 SF
FAA1 2019 295 2019-10-22 RSF
FAIR 1993 252 1993-09-09 SF
FAIR 1996 107 1996-04-16 RSFCAsDau
FAIR 1998 211 1998-07-30 RSF
FAIR 1998 222 1998-08-10 RSF
FAIR 1999 154 1999-06-03 RSF
FAIR 2002 189 2002-07-08 RSF
FAIR 2004 329 2004-11-24 SF
FAIR 2004 357 2004-12-22 Asi
FAIR 2008 085 2008-03-25 SFI
FAIR 2012 119 2012-04-28 D
FAIR 2012 216 2012-08-03 D
FAIR 2016 239 2016-08-26 DD
FAIR 2017 279 2017-10-06 RSFCYI
FAIR 2021 104 2021-04-14 RSFI
FAIV 2014 147 2014-05-27 RSFY
FALE 1997 100 1997-04-10 SFI
FALE 1999 222 1999-08-10 SF
FALE 1999 356 1999-12-22 SI
FALE 2003 162 2003-06-11 Asi
FALE 2010 294 2010-10-21 RSFCIAsDaui
FALE 2014 063 2014-03-04 SFCI
FLIN 1997 007 1997-01-07 SFCAsDl
FLIN 1997 343 1997-12-09 SI
FLIN 1998 266 1998-09-23 SC
FLIN 1998 344 1998-12-10 S
FLIN 1999 264 1999-09-21 D
FLIN 2001 013 2001-01-13 RSFC
FLIN 2009 133 2009-05-13 RSFx
FLIN 2010 355 2010-12-21 RSFYIAsDl
FLIN 2014 055 2014-02-24 RSF
FLIN 2015 187 2015-07-06 D
FLIN 2018 023 2018-01-23 S
FLIN 2020 049 2020-02-18 RSFY
FLRS 2021 293 2021-10-20 RSFYAs
FORT 1997 254 1997-09-11 SFI
FORT 2000 080 2000-03-20 Asi
FORT 2006 058 2006-02-27 D
FRDN 2004 191 2004-07-09 si
FRDN 2005 296 2005-10-23 RS
FRDN 2006 212 2006-07-31 si
FRDN 2006 221 2006-08-09 S
FRDN 2009 354 2009-12-20 RSFCYIAs
FRDN 2012 068 2012-03-08 S
FRDN 2014 031 2014-01-31 RSF
FRDN 2014 218 2014-08-06 s
FRDN 2016 223 2016-08-10 s
FRDN 2022 181 2022-06-30 RSFY
FTNA 2012 141 2012-05-20 RSFCYAsDi
FTNA 2015 162 2015-06-11 SF
FTNA 2022 248 2022-09-05 RSF
FUNC 2007 285 2007-10-12 RSF
FUNC 2008 093 2008-04-02 RSFYAs
FUNC 2020 329 2020-11-24 RSFYAs
GALA 2999 001 2999-01-01 RSFFI
GANP 2006 236 2006-08-24 RSFYAsaui
GANP 2009 231 2009-08-19 RSF
GANP 2012 110 2012-04-19 RSFYI
GANP 2017 037 2017-02-06 SFYAsDal
GANP 2018 232 2018-08-20 RS
GANP 2025 253 2025-09-10 SY
GLPS 2008 058 2008-02-27 RSF
GLPS 2012 318 2012-11-13 D
GLPS 2012 341 2012-12-06 D
GLPS 2015 229 2015-08-17 RSFCY
GLPS 2022 092 2022-04-02 RSFYI
GLPS 2022 180 2022-06-29 S
GLSV 2007 316 2007-11-12 RSFYAsal
GLSV 2009 348 2009-12-14 SFC
GLSV 2010 120 2010-04-30 SFS
GLSV 2017 205 2017-07-24 SF
GLSV 2019 172 2019-06-21 RSFYAsil
GMAS 2008 043 2008-02-12 RSFAs
GMSD 2008 288 2008-10-14 RSFC
GMSD 2010 340 2010-12-06 RSFYAsDa
GMSD 2017 271 2017-09-28 AsDa
GMSD 2017 354 2017-12-20 AsDa
GMSD 2023 155 2023-06-04 SFC
GODE 1994 346 1994-12-12 SF
GODE 1999 138 1999-05-18 RSFI
GODE 2002 123 2002-05-03 RS
GODE 2006 100 2006-04-10 RSFI
GODE 2012 189 2012-07-07 D
GODE 2012 203 2012-07-21 As
GODE 2012 215 2012-08-02 As
GODE 2012 348 2012-12-13 D
GODE 2013 030 2013-01-30 DD
GODE 2018 270 2018-09-27 RSFCY
GODZ 2008 178 2008-06-26 RSFI
GODZ 2012 189 2012-07-07 D
GODZ 2012 203 2012-07-21 As
GODZ 2012 215 2012-08-02 As
GODZ 2012 348 2012-12-13 D
GODZ 2013 030 2013-01-30 DD
GOL2 2006 011 2006-01-11 RSF
GOLD 1995 304 1995-10-31 FIAsau
GOLD 1999 230 1999-08-18 RSFC
GOLD 2011 257 2011-09-14 RSFY
GOLD 2018 207 2018-07-26 RSFCYI
GOPE 1997 161 1997-06-10 RSF
GOPE 1997 170 1997-06-19 RSF
GOPE 1999 308 1999-11-04 RSFCYAsD
GOPE 2000 206 2000-07-24 RSFYAsD
GOPE 2000 278 2000-10-04 RSFYAsD
GOPE 2001 199 2001-07-18 SF
GOPE 2006 020 2006-01-20 su
GOPE 2006 195 2006-07-14 AsDu
GOPE 2009 348 2009-12-14 RSFCAsD
GOPE 2018 220 2018-08-08 RSFY
GOPE 2019 100 2019-04-10 RSFY
GOUG 2013 258 2013-09-15 RSFYAsDl
GRAS 1996 128 1996-05-07 RSFs
GRAS 2003 112 2003-04-22 RSFCAsi
GRAS 2004 294 2004-10-20 RSFAs
GRAS 2007 123 2007-05-03 S
GRAS 2007 134 2007-05-14 S
GRAS 2010 139 2010-05-19 RSFY
GRAS 2014 163 2014-06-12 SFYI
GRAS 2020 238 2020-08-25 RSFY
GRAS 2021 270 2021-09-27 S
GRAS 2023 191 2023-07-10 S
GRAZ 1996 177 1996-06-25 RSFAsaui
GRAZ 1997 249 1997-09-06 SC
GRAZ 1998 159 1998-06-08 S
GRAZ 2000 131 2000-05-10 RSF
GRAZ 2000 183 2000-07-01 RSF
GRAZ 2001 119 2001-04-29 RSFI
GRAZ 2001 127 2001-05-07 As
GRAZ 2005 076 2005-03-17 RSFI
GRAZ 2005 081 2005-03-22 Asi
GRAZ 2005 306 2005-11-02 s
GRAZ 2010 138 2010-05-18 RSFYIAsD
GRAZ 2016 294 2016-10-20 As
GRAZ 2017 327 2017-11-23 Ss
GRAZ 2018 115 2018-04-25 RSFY
GRAZ 2025 107 2025-04-17 SI
GUAM 1995 213 1995-08-01 SF
GUAM 1996 345 1996-12-10 SF
GUAM 2000 117 2000-04-26 RSF
GUAM 2006 137 2006-05-17 As
GUAM 2008 325 2008-11-20 RSF
GUAM 2013 324 2013-11-20 RSFY
GUAM 2019 066 2019-03-07 AsDuil
GUAM 2019 241 2019-08-29 RSF
GUAM 2021 319 2021-11-15 RSFY
