NAME YEAR DOY YYYY-MM-DD TYPE
DRAO 2018 105 2018-04-15 RSF
DRAO 2018 110 2018-04-20 RSF
DRAO 2019 151 2019-05-31 RSF
DRAO 2021 245 2021-09-02 As
DUBO 1997 008 1997-01-08 AD
DUBO 1999 230 1999-08-18 SIAsD
DUBO 2004 331 2004-11-26 RSF
DUBO 2009 238 2009-08-26 RSFCYAsD
DUBO 2014 057 2014-02-26 RSF
DUBO 2017 053 2017-02-22 RSFY
EISL 2003 038 2003-02-07 RSFCAs
EISL 2004 045 2004-02-14 RSFCAsl
EPRT 2004 124 2004-05-03 RSF
EPRT 2004 192 2004-07-10 AD
EPRT 2008 131 2008-05-10 RSFCY
EPRT 2014 177 2014-06-26 RSFYAsD
EPRT 2017 033 2017-02-02 RSF
EPRT 2018 052 2018-02-21 AsDa
EPRT 2018 100 2018-04-10 RSF
FAA1 2012 339 2012-12-04 RSFYAs
FAA1 2019 295 2019-10-22 RSF
FAIR 1996 107 1996-04-16 RSFCAsDau
FAIR 1998 211 1998-07-30 RSF
FAIR 1998 222 1998-08-10 RSF
FAIR 1999 154 1999-06-03 RSF
FAIR 2002 189 2002-07-08 RSF
FAIR 2004 357 2004-12-22 Asi
FAIR 2012 119 2012-04-28 AD
FAIR 2012 216 2012-08-03 AD
FAIR 2016 239 2016-08-26 ADAD
FAIR 2017 279 2017-10-06 RSFCYI
FAIR 2021 104 2021-04-14 RSFI
FAIV 2014 147 2014-05-27 RSFY
FALE 2003 162 2003-06-11 Asi
FALE 2010 294 2010-10-21 RSFCIAsDaui
FLIN 1997 007 1997-01-07 SFCAsDl
FLIN 1999 264 1999-09-21 AD
FLIN 2001 013 2001-01-13 RSFC
FLIN 2009 133 2009-05-13 RSFu
FLIN 2010 355 2010-12-21 RSFYIAsDl
FLIN 2014 055 2014-02-24 RSF
FLIN 2015 187 2015-07-06 AD
FLIN 2020 049 2020-02-18 RSFY
FLRS 2021 293 2021-10-20 RSFYAs
FORT 2000 080 2000-03-20 Asi
FORT 2006 058 2006-02-27 AD
FRDN 2005 296 2005-10-23 RS
FRDN 2009 354 2009-12-20 RSFCYIAs
FRDN 2014 031 2014-01-31 RSF
FRDN 2022 181 2022-06-30 RSFY
FTNA 2012 141 2012-05-20 RSFCYAsDi
FTNA 2022 248 2022-09-05 RSF
FUNC 2007 285 2007-10-12 RSF
FUNC 2008 093 2008-04-02 RSFYAs
FUNC 2020 329 2020-11-24 RSFYAs
GALA 2999 001 2999-01-01 RSFFI
GANP 2006 236 2006-08-24 RSFYAsaui
GANP 2009 231 2009-08-19 RSF
GANP 2012 110 2012-04-19 RSFYI
GANP 2017 037 2017-02-06 SFYAsDal
GANP 2018 232 2018-08-20 RS
GLPS 2008 058 2008-02-27 RSF
GLPS 2012 318 2012-11-13 AD
GLPS 2012 341 2012-12-06 AD
GLPS 2015 229 2015-08-17 RSFCY
GLPS 2022 092 2022-04-02 RSFYI
GLSV 2007 316 2007-11-12 RSFYAsal
GLSV 2019 172 2019-06-21 RSFYAsil
GMAS 2008 043 2008-02-12 RSFAs
GMSD 2008 288 2008-10-14 RSFC
GMSD 2010 340 2010-12-06 RSFYAsDa
GMSD 2017 271 2017-09-28 AsDa
GMSD 2017 354 2017-12-20 AsDa
GODE 1999 138 1999-05-18 RSFI
GODE 2002 123 2002-05-03 RS
GODE 2006 100 2006-04-10 RSFI
GODE 2012 189 2012-07-07 AD
GODE 2012 203 2012-07-21 As
GODE 2012 215 2012-08-02 As
GODE 2012 348 2012-12-13 AD
GODE 2013 030 2013-01-30 ADAD
GODE 2018 270 2018-09-27 RSFCY
GODZ 2008 178 2008-06-26 RSFI
GODZ 2012 189 2012-07-07 AD
GODZ 2012 203 2012-07-21 As
GODZ 2012 215 2012-08-02 As
GODZ 2012 348 2012-12-13 AD
GODZ 2013 030 2013-01-30 ADAD
GOL2 2006 011 2006-01-11 RSF
GOLD 1995 304 1995-10-31 FIAsau
GOLD 1999 230 1999-08-18 RSFC
GOLD 2011 257 2011-09-14 RSFY
GOLD 2018 207 2018-07-26 RSFCYI
GOPE 1997 161 1997-06-10 RSF
GOPE 1997 170 1997-06-19 RSF
GOPE 1999 308 1999-11-04 RSFCYAsD
GOPE 2000 206 2000-07-24 RSFYAsD
GOPE 2000 278 2000-10-04 RSFYAsD
GOPE 2006 195 2006-07-14 AsDu
GOPE 2009 348 2009-12-14 RSFCAsD
GOPE 2018 220 2018-08-08 RSFY
GOPE 2019 100 2019-04-10 RSFY
GOUG 2013 258 2013-09-15 RSFYAsDl
GRAS 1996 128 1996-05-07 RSFs
GRAS 2003 112 2003-04-22 RSFCAsi
GRAS 2004 294 2004-10-20 RSFAs
GRAS 2010 139 2010-05-19 RSFY
GRAS 2020 238 2020-08-25 RSFY
GRAZ 1996 177 1996-06-25 RSFAsaui
GRAZ 2000 131 2000-05-10 RSF
GRAZ 2000 183 2000-07-01 RSF
GRAZ 2001 119 2001-04-29 RSFI
GRAZ 2001 127 2001-05-07 As
GRAZ 2005 076 2005-03-17 RSFI
GRAZ 2005 081 2005-03-22 Asi
GRAZ 2010 138 2010-05-18 RSFYIAsD
GRAZ 2016 294 2016-10-20 As
GRAZ 2018 115 2018-04-25 RSFY
GUAM 2000 117 2000-04-26 RSF
GUAM 2006 137 2006-05-17 As
GUAM 2008 325 2008-11-20 RSF
GUAM 2013 324 2013-11-20 RSFY
GUAM 2019 066 2019-03-07 AsDuil
GUAM 2019 241 2019-08-29 RSF
GUAM 2021 319 2021-11-15 RSFY
GUAT 2008 262 2008-09-18 RSFCI
GUAT 2011 332 2011-11-28 RFYAsDl
GUUG 2008 038 2008-02-07 RSFIADi
GUUG 2011 177 2011-06-26 Asal
GUUG 2019 100 2019-04-10 RSFYI
GUUG 2019 161 2019-06-10 AsDau
GUUG 2021 265 2021-09-22 RSFAsDau
HARB 1999 147 1999-05-27 RSFAs
HARB 2007 332 2007-11-28 RSFCu
HARB 2011 334 2011-11-30 RSFYIAsl
HARB 2018 171 2018-06-20 RSFY
HARK 1999 147 1999-05-27 RSFAs
HART 1996 064 1996-03-04 RSFI
HERS 1998 001 1998-01-01 RSFCAsau
HERS 2010 231 2010-08-19 RSFCYAsi
HERS 2018 234 2018-08-22 RSFYI
HERT 2007 338 2007-12-04 RSFCIAsi
HLFX 2013 189 2013-07-08 RSFCYAs
HLFX 2022 196 2022-07-15 RSFY
HNLC 2013 065 2013-03-06 RSFI
HNLC 2014 171 2014-06-20 RSFC
HNPT 1997 135 1997-05-15 RS
HNPT 1999 024 1999-01-24 As
HNPT 2000 131 2000-05-10 SAsD
HNPT 2001 087 2001-03-28 RSF
HNPT 2001 198 2001-07-17 RSF
HNPT 2004 042 2004-02-11 RSF
HNPT 2007 165 2007-06-14 RSFYAsDal
HNPT 2021 027 2021-01-27 RSFY
HNPT 2025 039 2025-02-08 RSFYAsal
HOB2 1999 333 1999-11-29 RSF
HOB2 2000 208 2000-07-26 RS
HOB2 2002 087 2002-03-28 RSF
HOB2 2002 092 2002-04-02 RSF
HOB2 2005 276 2005-10-03 RSF
HOB2 2008 344 2008-12-09 RSFY
