name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
AREG 2020-05-07 2020-09-26    1.30724310    0.05524290  142
AREG 2020-09-27 2020-10-26    3.08469027    0.15527513   30
AREG 2020-10-27 2020-12-22    1.12429121    0.12101457   55
AREG 2020-12-23 2021-01-18   -0.22989249    0.17455577   27
AREG 2021-01-19 2021-05-12    2.23915677    0.08749249  112
AREG 2021-05-13 2022-02-04    1.20104981    0.04554448  265
AREG 2022-02-05 2022-02-10    4.88006386    0.37537229    6
AREG 2022-02-11 2022-03-18    1.41928784    0.15525067   36
AREG 2022-03-19 2022-04-20    3.29558607    0.17432408   33
AREG 2022-04-21 2023-02-20    1.05302732    0.04354926  299
AREG 2023-02-21 2023-03-05    3.98555499    0.25757093   13
AREG 2023-03-06 2024-11-26    1.30174764    0.03058075  623
AREG 2024-11-27 2025-01-07   -0.39526480    0.14830105   40
AREG 2025-01-08 2025-11-07    1.31618591    0.04403724  299
AREG 2025-11-08 2025-12-30    0.19838526    0.12700671   52
AREQ 1994-04-18 1994-12-08    3.05703489    0.12355288   46
AREQ 1994-12-12 1995-08-18    0.79862138    0.09522804   74
AREQ 1995-08-19 1995-09-12    3.72316098    0.23159569   12
AREQ 1995-09-13 1998-02-26    1.47346728    0.04233358  534
AREQ 1998-02-28 1998-03-10    4.71572644    0.34112599   10
AREQ 1998-03-13 2001-08-09    1.16514876    0.03037210  914
AREQ 2001-08-10 2001-09-14    2.95009962    0.14195578   31
AREQ 2001-09-15 2001-10-22    0.61509341    0.15600954   37
AREQ 2001-10-23 2001-11-01    4.50412754    0.31913088   10
AREQ 2001-11-02 2002-03-25    0.88851815    0.11082247   98
AREQ 2002-03-26 2003-09-21    2.14695107    0.04858079  376
AREQ 2003-09-22 2004-02-17    0.92501228    0.10259888  114
AREQ 2004-02-18 2004-03-08    4.54484832    0.24554409   19
AREQ 2004-03-09 2004-07-28    1.31378090    0.07474363  142
AREQ 2004-07-29 2004-08-29    3.30441785    0.13034063   32
AREQ 2004-08-30 2004-09-06    6.35622204    0.29799841    8
AREQ 2004-09-07 2009-03-29    1.49396761    0.02431061 1525
AREQ 2009-03-30 2009-04-07    5.56728429    0.39049418    9
AREQ 2009-04-08 2010-03-04    1.16128223    0.05300930  315
AREQ 2010-03-05 2010-03-18    4.59232364    0.28873406   14
AREQ 2010-03-19 2010-11-25    0.97875322    0.05584358  250
AREQ 2010-11-26 2014-02-01    1.56141961    0.02832611 1133
AREQ 2014-02-02 2014-04-20    3.97274655    0.18358096   36
AREQ 2014-04-21 2019-11-15    1.49341374    0.02151311 1854
AREQ 2019-11-16 2019-12-26    3.40635784    0.18672563   41
AREQ 2019-12-27 2020-09-09    1.04774560    0.05691925  254
AREQ 2020-09-10 2021-04-22    2.07174762    0.07260272  222
AREQ 2021-04-23 2021-11-08    0.94972912    0.05972238  199
AREQ 2021-11-09 2022-04-20    2.28569972    0.08970471  159
AREQ 2022-04-21 2025-12-30    1.09221773    0.02633075 1255
AREV 2011-11-08 2012-01-11    0.41218250    0.15314066   65
AREV 2012-01-12 2012-01-30    3.72662969    0.26454026   17
AREV 2012-01-31 2012-03-15    1.09005818    0.18335766   34
AREV 2012-03-16 2012-03-20    5.60663836    0.45113406    5
AREV 2012-03-21 2012-05-01    0.81334191    0.17386368   40
AREV 2012-05-02 2012-05-09    4.73733434    0.36025404    7
AREV 2012-05-10 2012-05-28    1.72838231    0.21866591   19
AREV 2012-05-29 2012-06-03    4.49916380    0.36127866    6
AREV 2012-06-04 2013-04-25    1.71437151    0.05369686  312
AREV 2013-04-26 2013-12-22    1.07825613    0.08169432  137
AREV 2013-12-23 2014-01-04    3.95445940    0.34276534   13
AREV 2014-01-05 2014-01-23    0.28366195    0.25023003   19
AREV 2014-01-24 2014-04-20    3.89617460    0.17110381   42
AREV 2014-04-21 2014-05-20    1.59128800    0.18387882   30
AREV 2014-05-21 2014-06-15    0.00673868    0.17173948   26
AREV 2014-06-16 2014-07-21    1.86601705    0.15440393   25
AREV 2014-07-22 2014-08-13    0.51961349    0.15208718   23
AREV 2014-08-14 2014-08-22    3.55277828    0.25014568    9
AREV 2014-08-23 2015-01-04    1.60445423    0.08982983  135
AREV 2015-01-05 2015-01-18    4.60595909    0.29150917   14
AREV 2015-01-19 2016-01-07    1.43035728    0.05119765  344
AREV 2016-01-08 2016-01-28    4.36403142    0.23801624   21
AREV 2016-01-29 2016-03-30    2.56246519    0.13604446   60
AREV 2016-03-31 2016-11-12    1.39805918    0.05847424  226
AREV 2016-11-13 2016-12-25    3.29443202    0.19658325   42
AREV 2016-12-26 2017-02-02    0.62307496    0.18694571   36
AREV 2017-02-03 2017-02-21    3.43083608    0.25296917   19
AREV 2017-02-22 2017-05-23    1.09577928    0.10896582   91
AREV 2017-05-24 2017-05-28    4.59824388    0.42625833    5
AREV 2017-05-29 2017-09-11    1.55517846    0.07589984  105
ARTU 1999-08-09 2000-01-05    0.16049830    0.03068141  140
ARTU 2000-01-06 2000-01-30   -0.47150972    0.04993254   25
ARTU 2000-01-31 2002-04-13    0.29818122    0.01239821  752
ARTU 2002-04-14 2002-04-26    1.39999597    0.12152313   13
ARTU 2002-04-27 2002-10-02    0.58068736    0.05121332  142
ARTU 2002-10-03 2003-12-11    0.24199131    0.01747832  407
ARTU 2003-12-12 2004-08-29    0.55429902    0.02200195  249
ARTU 2004-08-31 2005-01-07    0.13815728    0.03152580  121
ARTU 2005-01-08 2006-01-12    0.39047591    0.01885529  354
ARTU 2006-01-13 2006-02-16   -0.27049648    0.04091921   35
ARTU 2006-02-17 2008-11-03    0.48622928    0.01331957  824
ARTU 2008-11-04 2009-12-24    0.28816321    0.01736078  398
ARTU 2009-12-25 2010-02-21   -0.30361990    0.03210817   59
ARTU 2010-02-22 2010-12-04    0.40700796    0.02588827  263
ARTU 2010-12-05 2011-02-07   -0.18398944    0.03214093   65
ARTU 2011-02-08 2012-04-09    0.22211957    0.01768175  322
ARTU 2012-04-10 2013-01-27   -0.11621011    0.02426361  254
ARTU 2013-01-28 2013-03-19    0.43581063    0.03626338   48
ARTU 2013-03-20 2013-11-27    0.07528297    0.02990448  243
ARTU 2013-11-28 2014-02-26   -0.27769457    0.02678378   91
ARTU 2014-02-27 2017-01-04    0.02442500    0.01169679  980
ARTU 2017-01-05 2017-01-11   -0.92805382    0.09436364    7
ARTU 2017-01-12 2017-12-27    0.14299430    0.01995566  332
ARTU 2017-12-28 2018-01-06    1.00647496    0.08246833   10
ARTU 2018-01-07 2019-01-11    0.11078492    0.01886160  340
ARTU 2019-01-12 2019-02-20   -0.60829871    0.03909426   38
