name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
AREV 2013-12-23 2014-01-23  +1.0783  +3.8962  +0.0817  +0.1711   137    42 -14.8620  5.820e-50     1
AREV 2014-04-21 2014-08-22  +3.8962  +1.6045  +0.1711  +0.0898    42   135 +11.8588  1.938e-32     1
AREV 2015-01-05 2015-01-18  +1.6045  +1.4304  +0.0898  +0.0512   135   344  +1.6838  9.222e-02     0
AREV 2016-01-08 2016-01-28  +1.4304  +2.5625  +0.0512  +0.1360   344    60  -7.7883  6.789e-15     1
AREV 2016-12-26 2017-02-21  +3.2944  +1.0958  +0.1966  +0.1090    42    91  +9.7821  1.344e-22     1
AREV 2017-05-24 2017-05-28  +1.0958  +1.5552  +0.1090  +0.0759    91   105  -3.4595  5.412e-04     1
ARTU 2000-01-06 2000-01-30  +0.1605  +0.2982  +0.0307  +0.0124   140   752  -4.1606  3.174e-05     1
ARTU 2002-04-14 2002-04-26  +0.2982  +0.5807  +0.0124  +0.0512   752   142  -5.3614  8.258e-08     1
ARTU 2006-01-13 2006-02-16  +0.3905  +0.4862  +0.0189  +0.0133   354   824  -4.1478  3.357e-05     1
ARTU 2017-01-05 2017-01-11  +0.0244  +0.1430  +0.0117  +0.0200   980   332  -5.1260  2.960e-07     1
ARTU 2017-12-28 2018-01-06  +0.1430  +0.1108  +0.0200  +0.0189   332   340  +1.1730  2.408e-01     0
ARTU 2019-01-12 2019-02-20  +0.1108  +0.1661  +0.0189  +0.0146   340   646  -2.3186  2.042e-02     1
ARTU 2021-01-10 2021-02-15  +0.1661  +0.0534  +0.0146  +0.0250   646   258  +3.8977  9.713e-05     1
ASC1 1996-05-02 1996-07-05       NA  -0.5050       NA  +0.0385    NA   537       NA         NA    NA
ASC1 2003-12-28 2004-01-10  -0.6100  -0.3730  +0.0303  +0.0540   879   319  -3.8287  1.288e-04     1
ASCG 2023-12-13 2024-01-15  -0.9075  -1.0321  +0.0493  +0.0424   212   310  +1.9175  5.518e-02     0
ASPA 2019-08-24 2019-09-08  -0.7750  -1.1803  +0.0773  +0.0439   257   793  +4.5572  5.183e-06     1
ASPA 2024-04-22 2024-04-23  +0.1104  -0.3076  +0.0527  +0.1123   543   128  +3.3687  7.553e-04     1
